%time,field.header.seq,field.header.stamp,field.header.frame_id,field.source,field.name,field.source_start,field.record_start,field.source_end,field.record_end
1575483209167817984,0,1575483209167817984,time_frame,juri,T000,1575483209167817984,1575483209167817984,1575483213040086784,1575483213040086784
1575483215303682048,1,1575483215303682048,time_frame,juri,T001,1575483215303682048,1575483215303682048,1575483215991822592,1575483215991822592
1575483221015534080,2,1575483221015534080,time_frame,juri,T002,1575483221015534080,1575483221015534080,1575483221879378688,1575483221879378688
1575483224383269120,3,1575483224383269120,time_frame,juri,T003,1575483224383269120,1575483224383269120,1575483225415257856,1575483225415257856
1575483229039020032,4,1575483229039020032,time_frame,juri,T004,1575483229039020032,1575483229039020032,1575483230038865152,1575483230038865152
1575483233158937088,5,1575483233158937088,time_frame,juri,T005,1575483233158937088,1575483233158937088,1575483234206876928,1575483234206876928
1575483237174716416,6,1575483237174716416,time_frame,juri,T006,1575483237174716416,1575483237174716416,1575483238326674944,1575483238326674944
1575483241318686208,7,1575483241318686208,time_frame,juri,T007,1575483241318686208,1575483241318686208,1575483242366498816,1575483242366498816
1575483245302523648,8,1575483245302523648,time_frame,juri,T008,1575483245302523648,1575483245302523648,1575483246342286336,1575483246342286336
1575483248318257920,9,1575483248318257920,time_frame,juri,T009,1575483248318257920,1575483248318257920,1575483249342245120,1575483249342245120
1575483252462595328,10,1575483252462595328,time_frame,juri,T010,1575483252462595328,1575483252462595328,1575483253622026496,1575483253622026496
1575483260822207232,11,1575483260822207232,time_frame,juri,T011,1575483260822207232,1575483260822207232,1575483262038240000,1575483262038240000
1575483265749456128,12,1575483265749456128,time_frame,juri,T012,1575483265749456128,1575483265749456128,1575483266461481216,1575483266461481216
1575483269429431552,13,1575483269429431552,time_frame,juri,T013,1575483269429431552,1575483269429431552,1575483270381437952,1575483270381437952
1575483273733188608,14,1575483273733188608,time_frame,juri,T014,1575483273733188608,1575483273733188608,1575483274653172224,1575483274653172224
1575483277556883712,15,1575483277556883712,time_frame,juri,T015,1575483277556883712,1575483277556883712,1575483278204788736,1575483278204788736
1575483281797029376,16,1575483281797029376,time_frame,juri,T016,1575483281797029376,1575483281797029376,1575483282436791808,1575483282436791808
1575483287060572672,17,1575483287060572672,time_frame,juri,T017,1575483287060572672,1575483287060572672,1575483287909027584,1575483287909027584
1575483291532463104,18,1575483291532463104,time_frame,juri,T018,1575483291532463104,1575483291532463104,1575483292524672000,1575483292524672000
1575483299004286464,19,1575483299004286464,time_frame,juri,T019,1575483299004286464,1575483299004286464,1575483299972030208,1575483299972030208
1575483305147870976,20,1575483305147870976,time_frame,juri,T020,1575483305147870976,1575483305147870976,1575483306323812352,1575483306323812352
1575483309779681792,21,1575483309779681792,time_frame,juri,T021,1575483309779681792,1575483309779681792,1575483310667627008,1575483310667627008
1575483314027475200,22,1575483314027475200,time_frame,juri,T022,1575483314027475200,1575483314027475200,1575483314787448064,1575483314787448064
1575483318531276288,23,1575483318531276288,time_frame,juri,T023,1575483318531276288,1575483318531276288,1575483319491209216,1575483319491209216
1575483322611149568,24,1575483322611149568,time_frame,juri,T024,1575483322611149568,1575483322611149568,1575483323803065600,1575483323803065600
1575483328050939904,25,1575483328050939904,time_frame,juri,T025,1575483328050939904,1575483328050939904,1575483329090941696,1575483329090941696
1575483331842782464,26,1575483331842782464,time_frame,juri,T026,1575483331842782464,1575483331842782464,1575483332858679808,1575483332858679808
1575483336770471680,27,1575483336770471680,time_frame,juri,T027,1575483336770471680,1575483336770471680,1575483337722407680,1575483337722407680
