%time,field.header.seq,field.header.stamp,field.header.frame_id,field.source,field.name,field.source_start,field.record_start,field.source_end,field.record_end
1575577086866945601,1,1575577086866295099,time_frame,juri,J001,1575577083835661888,1575577083847788095,1575577086852818965,1575577086862847089
1575577095646732490,2,1575577095646059036,time_frame,juri,J002,1575577092618993997,1575577092627587080,1575577095632844924,1575577095642730951
1575577102291404300,3,1575577102290647983,time_frame,juri,J003,1575577099211563110,1575577099270934104,1575577102277211904,1575577102287205934
1575577110054768604,4,1575577110054167985,time_frame,juri,J004,1575577107026462078,1575577107035083055,1575577110042155027,1575577110051209926
1575577117299051168,5,1575577117298417091,time_frame,juri,J005,1575577114271604061,1575577114280296087,1575577117284874916,1575577117295260906
1575577124470126097,6,1575577124469530105,time_frame,juri,J006,1575577121443039894,1575577121451615095,1575577124456800937,1575577124466312885
1575577131783435953,7,1575577131782608032,time_frame,juri,J007,1575577128754477977,1575577128764910936,1575577131769146919,1575577131778532028
1575577139110592844,8,1575577139109813928,time_frame,juri,J008,1575577136082144021,1575577136091743946,1575577139098059892,1575577139106554031
1575577145223604143,9,1575577145222665071,time_frame,juri,J009,1575577142192912101,1575577142201678991,1575577145208822965,1575577145219068050
1575577153194422656,10,1575577153193837881,time_frame,juri,J010,1575577150168086051,1575577150176398992,1575577153180808067,1575577153190713882
1575577164592943671,11,1575577164592319011,time_frame,juri,J011,1575577161568073987,1575577161576536893,1575577164580791950,1575577164589134931
1575577172051963196,12,1575577172051418066,time_frame,juri,J012,1575577169023576021,1575577169031878948,1575577172037270069,1575577172047590970
1575577178929178316,13,1575577178928450107,time_frame,juri,J013,1575577175903983116,1575577175912096023,1575577178916820049,1575577178925592899
1575577186356975582,14,1575577186356220006,time_frame,juri,J014,1575577183327084064,1575577183335522890,1575577186342943906,1575577186352562904
1575577192931353139,15,1575577192930629014,time_frame,juri,J015,1575577189902579069,1575577189911015033,1575577192917202949,1575577192927273035
1575577200299390018,16,1575577200298691987,time_frame,juri,J016,1575577197271030902,1575577197279217004,1575577200285070896,1575577200294780015
1575577208706920695,17,1575577208706362962,time_frame,juri,J017,1575577205678806066,1575577205687143087,1575577208692837953,1575577208702492952
1575577216419856510,18,1575577216418965101,time_frame,juri,J018,1575577213389930009,1575577213398060083,1575577216405622959,1575577216415047883
1575577226992009062,19,1575577226991328001,time_frame,juri,J019,1575577223964555025,1575577223972852945,1575577226980062007,1575577226988434076
