%time,field.header.seq,field.header.stamp,field.header.frame_id,field.source,field.name,field.source_start,field.record_start,field.source_end,field.record_end
1578490365733085042,1,1578490365732444047,time_frame,juri,J001,1578490362702456951,1578490362714257955,1578490365720665931,1578490365729487895
1578490374435784979,2,1578490374435163021,time_frame,juri,J002,1578490371406295061,1578490371414818048,1578490374421861886,1578490374431946992
1578490381489063286,3,1578490381487874031,time_frame,juri,J003,1578490378461858987,1578490378470828056,1578490381476299047,1578490381484884023
1578490389272113181,4,1578490389271435976,time_frame,juri,J004,1578490386246267080,1578490386255224943,1578490389260214090,1578490389268671035
1578490396609752475,5,1578490396609110116,time_frame,juri,J005,1578490393581696987,1578490393589936017,1578490396596220016,1578490396605772972
1578490403809382581,6,1578490403808655977,time_frame,juri,J006,1578490400782774925,1578490400791169881,1578490403796770095,1578490403805226087
1578490411001697784,7,1578490411001027107,time_frame,juri,J007,1578490407972624063,1578490407980902910,1578490410987643003,1578490410997471094
1578490418166889725,8,1578490418166201114,time_frame,juri,J008,1578490415139811038,1578490415148498058,1578490418154921054,1578490418163233995
1578490424313719234,9,1578490424312947988,time_frame,juri,J009,1578490421284256935,1578490421292551994,1578490424299742937,1578490424309575080
1578490431793316170,10,1578490431792680978,time_frame,juri,J010,1578490428764473915,1578490428773138999,1578490431779745101,1578490431789602994
1578490443268696444,11,1578490443267926931,time_frame,juri,J011,1578490440243277072,1578490440251630067,1578490443256788969,1578490443265038967
1578490450684078716,12,1578490450683585882,time_frame,juri,J012,1578490447651406049,1578490447660628080,1578490450667793035,1578490450680089950
1578490457564764921,13,1578490457563890933,time_frame,juri,J013,1578490454538935899,1578490454547471046,1578490457552812099,1578490457561275959
1578490464988176756,14,1578490464987298965,time_frame,juri,J014,1578490461962460994,1578490461971981048,1578490464976047992,1578490464984425067
