%time,field.header.seq,field.header.stamp,field.header.frame_id,field.source,field.name,field.source_start,field.record_start,field.source_end,field.record_end
1578493252667921116,1,1578493252667222976,time_frame,juri,J001,1578493249635555982,1578493249647562980,1578493252654153108,1578493252664231061
1578493261392856903,2,1578493261392205953,time_frame,juri,J002,1578493258363063097,1578493258371146917,1578493261378756046,1578493261388742923
1578493267953990031,3,1578493267953104019,time_frame,juri,J003,1578493264935165882,1578493264937680006,1578493267941839933,1578493267950119018
1578493275687696169,4,1578493275687102079,time_frame,juri,J004,1578493272658492088,1578493272666661024,1578493275674415111,1578493275683796882
1578493283064572815,5,1578493283063992023,time_frame,juri,J005,1578493280033922910,1578493280042712926,1578493283050076007,1578493283060255050
1578493290322842256,6,1578493290322146892,time_frame,juri,J006,1578493287297669887,1578493287306081056,1578493290310446977,1578493290319042921
1578493297521415618,7,1578493297520700931,time_frame,juri,J007,1578493294489700078,1578493294498917102,1578493297505666971,1578493297516876935
1578493304702363354,8,1578493304701585054,time_frame,juri,J008,1578493301674057960,1578493301683114051,1578493304690668106,1578493304698560953
1578493310803660657,9,1578493310803008079,time_frame,juri,J009,1578493307776777029,1578493307785295963,1578493310790410995,1578493310799853086
1578493318451123491,10,1578493318450525999,time_frame,juri,J010,1578493315425771951,1578493315434037923,1578493318438391923,1578493318447562932
1578493329810565834,11,1578493329810340881,time_frame,juri,J011,1578493326791970968,1578493326800167083,1578493329806302070,1578493329809357881
1578493337219557546,12,1578493337219022989,time_frame,juri,J012,1578493334192553997,1578493334201056003,1578493337206371068,1578493337215595006
1578493344013349471,13,1578493344012811899,time_frame,juri,J013,1578493340983445882,1578493340991698980,1578493343998682975,1578493344009165048
