         x	         y	         z
 -0.821197	  2.356485	  0.155976
 -0.821196	  2.356485	  0.155976
 -0.821199	  2.356484	  0.155977
 -0.821197	  2.356485	  0.155976
 -0.821199	  2.356484	  0.155976
 -0.821197	  2.356485	  0.155975
 -0.821196	  2.356485	  0.155975
 -0.821195	  2.356485	  0.155977
 -0.821198	  2.356484	  0.155977
 -0.821197	  2.356485	  0.155978
 -0.821195	  2.356485	  0.155978
 -0.821199	  2.356484	  0.155980
 -0.821198	  2.356484	  0.155982
 -0.821198	  2.356484	  0.155980
 -0.821199	  2.356484	  0.155978
 -0.821199	  2.356484	  0.155979
 -0.821201	  2.356483	  0.155980
 -0.821200	  2.356484	  0.155980
 -0.821201	  2.356483	  0.155979
 -0.821201	  2.356483	  0.155980
 -0.821199	  2.356484	  0.155980
 -0.821202	  2.356483	  0.155979
 -0.821201	  2.356483	  0.155978
 -0.821201	  2.356483	  0.155979
 -0.821200	  2.356484	  0.155975
 -0.821199	  2.356484	  0.155978
 -0.821201	  2.356483	  0.155978
 -0.821202	  2.356483	  0.155977
 -0.821201	  2.356483	  0.155977
 -0.821200	  2.356484	  0.155974
 -0.821201	  2.356484	  0.155974
 -0.821199	  2.356484	  0.155973
 -0.821203	  2.356483	  0.155976
 -0.821202	  2.356483	  0.155973
 -0.821201	  2.356484	  0.155972
 -0.821200	  2.356484	  0.155972
 -0.821201	  2.356484	  0.155972
 -0.821201	  2.356484	  0.155973
 -0.821203	  2.356483	  0.155970
 -0.821203	  2.356483	  0.155972
 -0.821202	  2.356483	  0.155974
 -0.821201	  2.356483	  0.155974
 -0.821203	  2.356483	  0.155974
 -0.821203	  2.356483	  0.155972
 -0.821203	  2.356483	  0.155974
 -0.821204	  2.356482	  0.155974
 -0.821202	  2.356483	  0.155976
 -0.821202	  2.356483	  0.155974
 -0.821203	  2.356483	  0.155973
 -0.821203	  2.356483	  0.155973
 -0.821202	  2.356483	  0.155974
 -0.821203	  2.356483	  0.155973
 -0.821204	  2.356482	  0.155973
 -0.821204	  2.356483	  0.155974
 -0.821205	  2.356482	  0.155973
 -0.821205	  2.356482	  0.155971
 -0.821202	  2.356483	  0.155973
 -0.821204	  2.356483	  0.155970
 -0.821204	  2.356482	  0.155971
 -0.821204	  2.356483	  0.155968
 -0.821203	  2.356483	  0.155969
 -0.821204	  2.356483	  0.155969
 -0.821204	  2.356483	  0.155967
 -0.821206	  2.356482	  0.155967
 -0.821205	  2.356483	  0.155966
 -0.821203	  2.356483	  0.155971
 -0.821204	  2.356483	  0.155969
 -0.821204	  2.356483	  0.155970
 -0.821203	  2.356483	  0.155969
 -0.821205	  2.356482	  0.155970
 -0.821202	  2.356483	  0.155971
 -0.821203	  2.356483	  0.155970
 -0.821203	  2.356483	  0.155970
 -0.821202	  2.356484	  0.155969
 -0.821201	  2.356484	  0.155968
 -0.821200	  2.356484	  0.155969
 -0.821200	  2.356484	  0.155968
 -0.821201	  2.356484	  0.155971
 -0.821206	  2.356482	  0.155970
 -0.821204	  2.356483	  0.155969
 -0.821203	  2.356483	  0.155972
 -0.821203	  2.356483	  0.155971
 -0.821204	  2.356483	  0.155971
 -0.821204	  2.356483	  0.155969
 -0.821203	  2.356483	  0.155970
 -0.821203	  2.356483	  0.155970
 -0.821206	  2.356482	  0.155972
 -0.821207	  2.356481	  0.155975
 -0.821205	  2.356482	  0.155973
 -0.821207	  2.356482	  0.155972
 -0.821205	  2.356482	  0.155972
 -0.821204	  2.356482	  0.155975
 -0.821207	  2.356481	  0.155975
 -0.821203	  2.356483	  0.155975
 -0.821207	  2.356481	  0.155975
 -0.821206	  2.356481	  0.155977
 -0.821205	  2.356482	  0.155978
 -0.821205	  2.356482	  0.155976
 -0.821206	  2.356482	  0.155975
 -0.821208	  2.356481	  0.155975
 -0.821206	  2.356481	  0.155978
 -0.821205	  2.356482	  0.155978
 -0.821207	  2.356481	  0.155979
 -0.821209	  2.356480	  0.155979
 -0.821210	  2.356480	  0.155977
 -0.821207	  2.356481	  0.155979
 -0.821206	  2.356481	  0.155979
 -0.821209	  2.356480	  0.155981
 -0.821207	  2.356481	  0.155978
 -0.821209	  2.356480	  0.155979
 -0.821206	  2.356481	  0.155978
 -0.821208	  2.356481	  0.155980
 -0.821207	  2.356481	  0.155981
 -0.821209	  2.356480	  0.155982
 -0.821205	  2.356482	  0.155980
 -0.821204	  2.356482	  0.155980
 -0.821208	  2.356481	  0.155980
 -0.821204	  2.356482	  0.155981
 -0.821205	  2.356482	  0.155980
 -0.821204	  2.356482	  0.155979
 -0.821204	  2.356482	  0.155982
 -0.821204	  2.356482	  0.155984
 -0.821203	  2.356482	  0.155982
 -0.821204	  2.356482	  0.155981
 -0.821206	  2.356481	  0.155980
 -0.821202	  2.356483	  0.155984
 -0.821203	  2.356482	  0.155982
 -0.821201	  2.356483	  0.155982
 -0.821204	  2.356482	  0.155985
 -0.821202	  2.356483	  0.155984
 -0.821199	  2.356484	  0.155983
 -0.821198	  2.356484	  0.155984
 -0.821201	  2.356483	  0.155984
 -0.821202	  2.356482	  0.155987
 -0.821201	  2.356483	  0.155985
 -0.821199	  2.356483	  0.155985
 -0.821200	  2.356483	  0.155982
 -0.821200	  2.356483	  0.155986
 -0.821198	  2.356484	  0.155983
 -0.821199	  2.356484	  0.155980
 -0.821197	  2.356484	  0.155980
 -0.821199	  2.356484	  0.155982
 -0.821200	  2.356483	  0.155980
 -0.821198	  2.356484	  0.155978
 -0.821199	  2.356484	  0.155978
 -0.821199	  2.356484	  0.155976
 -0.821196	  2.356485	  0.155975
 -0.821196	  2.356485	  0.155975
 -0.821197	  2.356485	  0.155976
 -0.821196	  2.356485	  0.155977
 -0.821198	  2.356484	  0.155978
 -0.821199	  2.356484	  0.155978
 -0.821199	  2.356484	  0.155978
 -0.821198	  2.356484	  0.155978
 -0.821198	  2.356484	  0.155978
 -0.821196	  2.356485	  0.155978
 -0.821195	  2.356485	  0.155977
 -0.821196	  2.356485	  0.155978
 -0.821199	  2.356484	  0.155979
 -0.821200	  2.356484	  0.155978
 -0.821197	  2.356485	  0.155980
 -0.821197	  2.356484	  0.155979
 -0.821196	  2.356485	  0.155980
 -0.821196	  2.356485	  0.155978
 -0.821198	  2.356484	  0.155977
 -0.821197	  2.356484	  0.155981
 -0.821197	  2.356485	  0.155981
 -0.821200	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155977
 -0.821196	  2.356485	  0.155980
 -0.821197	  2.356485	  0.155979
 -0.821195	  2.356485	  0.155982
 -0.821198	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155977
 -0.821196	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821199	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155978
 -0.821199	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821196	  2.356485	  0.155976
 -0.821198	  2.356484	  0.155976
 -0.821197	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155978
 -0.821200	  2.356484	  0.155978
 -0.821200	  2.356484	  0.155976
