    Joint0	    Joint1	    Joint2	    Joint3	    Joint4	    Joint5	
  0.066267	 -0.929684	  0.533967	 -1.198201	  1.602531	 -1.491566	
  0.066267	 -0.929707	  0.533991	 -1.198188	  1.602543	 -1.491518	
  0.066315	 -0.929732	  0.533943	 -1.198212	  1.602567	 -1.491542	
  0.066243	 -0.929719	  0.533967	 -1.198201	  1.602543	 -1.491530	
  0.066255	 -0.929695	  0.533955	 -1.198188	  1.602567	 -1.491506	
  0.066303	 -0.929744	  0.533955	 -1.198201	  1.602543	 -1.491542	
  0.066303	 -0.929719	  0.533967	 -1.198212	  1.602507	 -1.491530	
  0.066291	 -0.929744	  0.533967	 -1.198224	  1.602543	 -1.491542	
  0.066303	 -0.929732	  0.533967	 -1.198176	  1.602531	 -1.491542	
  0.066279	 -0.929732	  0.533979	 -1.198224	  1.602555	 -1.491530	
  0.066303	 -0.929707	  0.533955	 -1.198224	  1.602555	 -1.491554	
  0.066291	 -0.929732	  0.533955	 -1.198188	  1.602555	 -1.491566	
  0.066267	 -0.929719	  0.533979	 -1.198188	  1.602555	 -1.491554	
  0.066303	 -0.929767	  0.533979	 -1.198188	  1.602531	 -1.491530	
  0.066267	 -0.929732	  0.533979	 -1.198212	  1.602567	 -1.491566	
  0.066279	 -0.929744	  0.533955	 -1.198176	  1.602555	 -1.491578	
  0.066267	 -0.929719	  0.533943	 -1.198224	  1.602531	 -1.491542	
  0.066291	 -0.929744	  0.533979	 -1.198201	  1.602555	 -1.491506	
  0.066279	 -0.929732	  0.533955	 -1.198224	  1.602543	 -1.491542	
  0.066279	 -0.929719	  0.533967	 -1.198201	  1.602567	 -1.491566	
  0.066291	 -0.929719	  0.533979	 -1.198176	  1.602519	 -1.491530	
  0.066279	 -0.929719	  0.533979	 -1.198176	  1.602555	 -1.491506	
  0.066291	 -0.929744	  0.533979	 -1.198201	  1.602567	 -1.491530	
  0.066291	 -0.929744	  0.533955	 -1.198176	  1.602567	 -1.491554	
  0.066315	 -0.929719	  0.533979	 -1.198188	  1.602555	 -1.491530	
  0.066315	 -0.929732	  0.533967	 -1.198176	  1.602555	 -1.491530	
  0.066327	 -0.929719	  0.533943	 -1.198176	  1.602543	 -1.491542	
  0.066303	 -0.929732	  0.533943	 -1.198164	  1.602555	 -1.491554	
  0.066279	 -0.929756	  0.533967	 -1.198188	  1.602531	 -1.491554	
  0.066279	 -0.929719	  0.533967	 -1.198212	  1.602579	 -1.491554	
  0.066267	 -0.929719	  0.533955	 -1.198176	  1.602543	 -1.491542	
  0.066291	 -0.929732	  0.533967	 -1.198201	  1.602555	 -1.491554	
  0.066279	 -0.929732	  0.533967	 -1.198188	  1.602543	 -1.491530	
  0.066267	 -0.929767	  0.533955	 -1.198212	  1.602543	 -1.491518	
  0.066291	 -0.929744	  0.533967	 -1.198201	  1.602531	 -1.491530	
  0.066303	 -0.929719	  0.533991	 -1.198212	  1.602543	 -1.491530	
  0.066267	 -0.929684	  0.533967	 -1.198164	  1.602531	 -1.491542	
  0.066267	 -0.929695	  0.533979	 -1.198188	  1.602519	 -1.491542	
  0.066279	 -0.929719	  0.533967	 -1.198201	  1.602543	 -1.491518	
  0.066279	 -0.929719	  0.533955	 -1.198164	  1.602555	 -1.491566	
  0.066303	 -0.929744	  0.533967	 -1.198212	  1.602555	 -1.491518	
  0.066267	 -0.929744	  0.533979	 -1.198164	  1.602543	 -1.491554	
  0.066315	 -0.929732	  0.533979	 -1.198176	  1.602555	 -1.491542	
  0.066339	 -0.929719	  0.533979	 -1.198236	  1.602567	 -1.491566	
  0.066303	 -0.929732	  0.533955	 -1.198176	  1.602567	 -1.491542	
  0.066303	 -0.929719	  0.533967	 -1.198188	  1.602555	 -1.491554	
  0.066315	 -0.929732	  0.533979	 -1.198188	  1.602555	 -1.491530	
  0.066303	 -0.929779	  0.533967	 -1.198188	  1.602531	 -1.491554	
  0.066279	 -0.929744	  0.533967	 -1.198188	  1.602543	 -1.491554	
  0.066303	 -0.929732	  0.533967	 -1.198201	  1.602555	 -1.491530	
