,name,value,type,v,von,nach,value_est,probe,abs_probe
0,ri_10_11,0.0,ri,-2.6777972013114493e-06,10,11,-2.6777972013114493e-06,-6.027076612014071e-06,6.027076612014071e-06
2,ri_10_223,92.9,ri,5.775620068870779e-07,10,223,1.4592703651544658,4.761132155195469e-09,4.761132155195469e-09
3,ri_10_254,346.90689999999995,ri,-6.061830210679631e-06,10,254,5.449194780767835,-5.329798824504905e-10,5.329798824504905e-10
4,ri_10_33,172.2053,ri,8.162065404659913e-06,10,33,2.705002689011536,-3.81804774374217e-06,3.81804774374217e-06
6,ri_11_10,0.0,ri,9.938694445210672e-07,11,10,9.938694445210672e-07,-6.027076611125892e-06,6.027076611125892e-06
8,ri_11_1247,284.4015,ri,-3.6482428166895176e-05,11,1247,4.46733183292142,-4.32720526077901e-12,4.32720526077901e-12
9,ri_11_21,136.12689999999998,ri,5.742872398517562e-06,11,21,2.1382820878521605,4.515364295798463e-07,4.515364295798463e-07
11,ri_11_263,103.29489999999998,ri,2.9745686323856546e-05,11,263,1.6225822406527852,7.564837645190892e-12,7.564837645190892e-12
12,ri_21_11,0.0,ri,-6.87533149879016e-06,21,11,-6.87533149879016e-06,4.515364295798463e-07,4.515364295798463e-07
14,ri_21_22,262.2336,ri,1.6055014086191477e-05,21,22,4.119171811436108,3.6406309966707795e-08,3.6406309966707795e-08
16,ri_21_223,359.4087999999999,ri,3.500787365151581e-05,21,223,5.645615236451267,0.0,0.0
17,ri_21_240,125.0894,ri,-3.474202845321628e-05,21,240,1.964864958381322,0.0,0.0
18,ri_21_254,210.0534,ri,-2.5849800266541934e-05,21,254,3.299485241707525,0.0,0.0
19,ri_21_31,66.5488,ri,1.640427247906473e-05,21,31,1.045362510198561,1.515080239045119e-08,1.515080239045119e-08
21,ri_22_21,0.0,ri,-1.682454062912342e-05,22,21,-1.682454062912342e-05,3.6406309966707795e-08,3.6406309966707795e-08
23,ri_22_240,61.8533,ri,4.4794163994499314e-05,22,240,0.9716341585654222,6.332268043252043e-12,6.332268043252043e-12
24,ri_22_254,147.086,ri,-2.7969623365819984e-05,22,254,2.310393515606176,-9.032774528350274e-12,9.032774528350274e-12
25,ri_31_035,0.0,ri,1.2607194224578677e-05,31,035,1.2607194224578677e-05,-4.1744385725905886e-14,4.1744385725905886e-14
26,ri_31_21,87.19079999999998,ri,-1.3966019200728486e-05,31,21,1.3695759176838838,1.515080239045119e-08,1.515080239045119e-08
28,ri_31_32,285.7004,ri,1.3588249761498084e-06,31,32,4.4877727476633025,-1.5040075118655238e-05,1.5040075118655238e-05
30,ri_32_035,0.0,ri,1.6966068988877314e-05,32,035,1.6966068988877314e-05,1.6942675040709787e-10,1.6942675040709787e-10
31,ri_32_182,241.8323,ri,-2.4805764938684582e-05,32,182,3.7986680796386763,8.238298931928512e-10,8.238298931928512e-10
32,ri_32_237,335.1846,ri,2.8335491308317806e-05,32,237,5.265095720273475,-7.2081149937730515e-09,7.2081149937730515e-09
33,ri_32_254,32.3688,ri,-2.0154806530836566e-05,32,254,0.5084277666210556,6.25949048149721e-09,6.25949048149721e-09
34,ri_32_31,85.5184,ri,1.2890272641508105e-06,32,31,1.343321174961031,-1.5040075118655238e-05,1.5040075118655238e-05
36,ri_32_33,184.0214,ri,-1.630016091880293e-06,32,33,2.890599761700452,-1.0499046060985506e-05,1.0499046060985506e-05
38,ri_33_10,0.0,ri,-1.0077057129853628e-05,33,10,-1.0077057129853628e-05,-3.81804774374217e-06,3.81804774374217e-06
40,ri_33_237,279.4471,ri,7.838328708542619e-06,33,237,4.3895526204635695,3.453349606274969e-09,3.453349606274969e-09
41,ri_33_32,327.4841,ri,2.238728421199987e-06,33,32,5.144110452365748,-1.0499046060985506e-05,1.0499046060985506e-05
