==> 1579272653216571.pcd <==
-0.19051972 -0.44089052 0.016859775
-0.19065115 -0.44078293 0.016865697
-0.19077927 -0.44067693 0.016846096
-0.19091046 -0.44056925 0.016845042
-0.1910394 -0.44046363 0.016848695
-0.19116803 -0.44035783 0.016843054
-0.19129698 -0.44025224 0.016847868
-0.19142802 -0.44014451 0.016843326
-0.19155657 -0.44003868 0.016835356
-0.19168793 -0.43993118 0.016841279
-0.19181672 -0.43982553 0.016841445
-0.19194521 -0.43971962 0.016831158
-0.19207411 -0.43961409 0.016835973
-0.19220527 -0.43950647 0.016836079
-0.19233389 -0.4394007 0.016830439
-0.19246483 -0.43929285 0.016821248
-0.19259356 -0.43918714 0.016819086
-0.19272223 -0.43908137 0.016814604
-0.19285105 -0.43897578 0.0168171
-0.19298217 -0.43886814 0.016816048
-0.1931109 -0.43876243 0.016813885
-0.19324201 -0.43865475 0.016811673
-0.19337077 -0.4385491 0.01681184
-0.19349946 -0.43844333 0.016807359
-0.19362815 -0.43833745 0.016800545
-0.19375928 -0.43822974 0.016798332
-0.19388807 -0.43812415 0.016799659
-0.1940193 -0.43801683 0.016807914
-0.19414805 -0.43791106 0.016804591
-0.19427913 -0.43780312 0.016796557
-0.19440801 -0.43769792 0.016808365
-0.19453917 -0.43759036 0.016809629
-0.19466791 -0.43748444 0.016802818
-0.19479668 -0.43737864 0.016799504
-0.19492547 -0.43727297 0.01679967
-0.19505666 -0.43716541 0.016800936
-0.19518545 -0.43705979 0.016802272
-0.19531664 -0.43695179 0.016794235
-0.19544546 -0.43684593 0.016790912
-0.19557662 -0.43673947 0.01681662
-0.19570546 -0.43663332 0.016806314
-0.19583429 -0.43652734 0.016800668
-0.19596332 -0.43641976 0.016762434
-0.19609451 -0.43631265 0.01677417
-0.19622335 -0.43620726 0.016781326
-0.19635461 -0.43609962 0.016782589
-0.19648352 -0.43599364 0.016778102
-0.19661483 -0.43588588 0.016777044
-0.19674368 -0.43578035 0.016781859
-0.19687499 -0.43567264 0.016781971
-0.1970039 -0.43556693 0.016783295
-0.19713299 -0.43546054 0.016772984
-0.19726206 -0.43535429 0.016765002
-0.19739348 -0.43524632 0.01676162
-0.1975224 -0.43514076 0.016766433
-0.19765379 -0.43503296 0.016766533
-0.19778295 -0.43492663 0.01675855
-0.19791451 -0.43481836 0.016751673
-0.19804348 -0.43471277 0.016756486
-0.19817506 -0.43460456 0.016750772
-0.19830434 -0.43449813 0.016742785
-0.19843358 -0.43439183 0.016737118
-0.19856271 -0.43428588 0.016737275
-0.19869427 -0.43417788 0.016736209
-0.19882335 -0.43407214 0.01673986
-0.19895506 -0.43396387 0.016735302
-0.19908416 -0.43385813 0.016738961
-0.19921586 -0.43374991 0.016735561
-0.19934557 -0.4336428 0.016720582
-0.19947739 -0.43353444 0.016716022
-0.19960664 -0.43342847 0.016717335
-0.19973832 -0.43332046 0.016718598
-0.19986756 -0.43321455 0.016721085
-0.19999692 -0.43310842 0.016721236
-0.2001262 -0.43300244 0.01672372
-0.20025834 -0.4328936 0.016714489
-0.20038816 -0.43278664 0.016704168
-0.20051895 -0.43268055 0.016731037
-0.20064859 -0.43257397 0.016726531
-0.20078102 -0.43246475 0.016713813
-0.20091037 -0.43235877 0.016717454
-0.20103976 -0.43225279 0.016721096
-0.20116937 -0.4321464 0.016720083
-0.20130141 -0.43203801 0.016719006
-0.20143096 -0.43193179 0.016720314
-0.20156327 -0.43182296 0.016714578
-0.20169272 -0.43171698 0.01671939
-0.20182392 -0.43161011 0.016736947
-0.20195451 -0.43150219 0.016719613
-0.20208585 -0.43139306 0.01668947
-0.2022157 -0.43128648 0.016688449
-0.20234731 -0.43117902 0.016700175
-0.20247696 -0.4310728 0.016703811
-0.20260957 -0.43096375 0.016698068
-0.20273949 -0.43085715 0.016698206
-0.20287183 -0.43074858 0.016698282
-0.20300174 -0.43064207 0.01669959
-0.20313188 -0.43053517 0.01669739
-0.20326184 -0.43042859 0.016698698
-0.20339483 -0.43031913 0.016690616
-0.2035253 -0.43021181 0.016684918
-0.20365809 -0.43010271 0.016681502
-0.20378821 -0.42999601 0.016682794
-0.20392106 -0.42988685 0.016679365
-0.20405155 -0.42977965 0.016675998
-0.20418419 -0.42967087 0.016677236
-0.2043149 -0.42956337 0.016671542
-0.20444487 -0.42945701 0.01667749
-0.20457543 -0.42934978 0.01667529
-0.20470862 -0.42924029 0.016670693
-0.20483929 -0.429133 0.016668482
-0.20497265 -0.4290233 0.016662721
-0.20510322 -0.42891616 0.01666284
-0.20523652 -0.42880666 0.016659401
-0.20536816 -0.42869806 0.016646702
-0.20549972 -0.42859101 0.01666658
-0.20562997 -0.42848444 0.016672531
-0.20576243 -0.4283748 0.01665166
-0.20589334 -0.42826736 0.016650613
-0.20602623 -0.42815852 0.016655324
-0.20615703 -0.42805126 0.016656609
-0.20629039 -0.42794186 0.01665666
-0.20642218 -0.42783332 0.016647438
-0.20655634 -0.42772287 0.016639326
-0.20668681 -0.42761612 0.01664643
-0.20681845 -0.42750788 0.016640712
-0.20695248 -0.4273977 0.016636092
-0.20708412 -0.42728949 0.016631536
-0.20721497 -0.42718235 0.016636301
-0.2073466 -0.42707416 0.016632915
-0.20747952 -0.42696553 0.016642276
-0.20761126 -0.42685732 0.016638886

==> 1579272653224640.pcd <==
-0.20787843 -0.42664447 0.016637068
-0.20800766 -0.42653951 0.016660491
-0.2081418 -0.42642829 0.016634932
-0.20827952 -0.42631367 0.01659881
-0.20841067 -0.42620632 0.01660474
-0.20854357 -0.42609787 0.016617607
