%time,field.header.seq,field.header.stamp,field.header.frame_id,field.source,field.name,field.source_start,field.record_start,field.source_end,field.record_end
1563296932048982726,1,1563296932048691034,time_frame,juri,J001,1563296929033776998,1563296929043881893,1563296932045128107,1563296932048403024
1563296938943238906,2,1563296938942965984,time_frame,juri,J002,1563296935930813074,1563296935938651084,1563296938939289093,1563296938942657947
1563296944469282848,3,1563296944469121932,time_frame,juri,J003,1563296941457284927,1563296941462994098,1563296944466447114,1563296944468794107
1563296950726494811,4,1563296950726228952,time_frame,juri,J004,1563296947713357925,1563296947718988895,1563296950722579002,1563296950725882053
1563296956666557172,5,1563296956665940046,time_frame,juri,J005,1563296953657073020,1563296953659528970,1563296956662610054,1563296956665581941
1563296962650540357,6,1563296962650202035,time_frame,juri,J006,1563296959641647100,1563296959644198894,1563296962647152900,1563296962649835109
1563296968599336730,7,1563296968599159002,time_frame,juri,J007,1563296965592264890,1563296965594573974,1563296968595962047,1563296968598572969
1563296974578087313,8,1563296974577725887,time_frame,juri,J008,1563296971568428993,1563296971571028947,1563296974574309110,1563296974577137947
1563296979787329692,9,1563296979787085056,time_frame,juri,J009,1563296976775820016,1563296976779191017,1563296979782474040,1563296979786611080
1563296986217586453,10,1563296986217369079,time_frame,juri,J010,1563296983208748102,1563296983212095975,1563296986214046001,1563296986216885089
1563296995371311584,11,1563296995371156930,time_frame,juri,J011,1563296992362647056,1563296992367075920,1563296995368236064,1563296995370824098
1563297001479198646,12,1563297001478667974,time_frame,juri,J012,1563296998470767021,1563296998472922086,1563297001475732088,1563297001478442907
1563297008242953392,13,1563297008242700099,time_frame,juri,J013,1563297005230849027,1563297005234811067,1563297008238570928,1563297008241993904
1563297015352585938,14,1563297015352416038,time_frame,juri,J014,1563297012342331886,1563297012346324920,1563297015349636077,1563297015352061986
1563297024271139674,15,1563297024271009922,time_frame,juri,J015,1563297021262298107,1563297021266041994,1563297024268358945,1563297024270706892
1563297031074492948,16,1563297031074237108,time_frame,juri,J016,1563297028061512947,1563297028067841053,1563297031070748090,1563297031073599100
1563297037136562021,17,1563297037136315107,time_frame,juri,J017,1563297034125581979,1563297034129180908,1563297037132556915,1563297037135714054
1563297042724294418,18,1563297042723520994,time_frame,juri,J018,1563297039708756923,1563297039716650009,1563297042719636917,1563297042723040103
1563297048831799431,19,1563297048831532001,time_frame,juri,J019,1563297045815614938,1563297045824058055,1563297048826833963,1563297048830939054
1563297055521291712,20,1563297055520986080,time_frame,juri,J020,1563297052508723974,1563297052514141082,1563297055517636060,1563297055520607948
1563297061788073221,21,1563297061787655115,time_frame,juri,J021,1563297058776957988,1563297058780071020,1563297061783639907,1563297061786822080
1563297069757050439,22,1563297069756792068,time_frame,juri,J022,1563297066742546081,1563297066748433113,1563297069751960992,1563297069756148099
1563297076117907830,23,1563297076117317914,time_frame,juri,J023,1563297073108201980,1563297073111057043,1563297076114063978,1563297076117000102
1563297084062599272,24,1563297084062366008,time_frame,juri,J024,1563297081051398992,1563297081055388927,1563297084058821916,1563297084062093019
1563297090352748092,25,1563297090352437973,time_frame,juri,J025,1563297087339534997,1563297087344608068,1563297090347593069,1563297090352096080
1563297096317977915,26,1563297096317600965,time_frame,juri,J026,1563297093308733940,1563297093312561035,1563297096314033985,1563297096316984891
1563297103114533096,27,1563297103114383935,time_frame,juri,J027,1563297100108292102,1563297100110366106,1563297103111218929,1563297103113964080
1563297110980503861,28,1563297110980251073,time_frame,juri,J028,1563297107970829010,1563297107974806070,1563297110976665019,1563297110979664087
1563297117687032437,29,1563297117686809062,time_frame,juri,J029,1563297114674295902,1563297114678637981,1563297117682168006,1563297117686151027
