,qw,qx,qy,qz,x,y,z,ut,k,dcm_0,dcm_1,dcm_2,dcm_3,dcm_4,dcm_5,dcm_6,dcm_7,dcm_8,ro,pi,ya
J001,0.7082221945068119,0.00031610866265460437,8.204429493186611e-05,0.7059895296934678,0.11048844112935696,-0.09529531630640026,0.9892628365478029,1559059270.3686008,1097.5,0.00315755394701255,-0.9999948561591424,0.0005625499727157729,0.9999949595226553,0.003157367562224764,-0.00033190551670373824,0.0003301276291650536,0.0005635951884932394,0.9999997860492885,0.0005635952494009895,-0.000330127635329654,1.5676387674260654
J002,0.7062392040823551,-0.0009468834810365765,0.0011642277580103861,0.7079717042914402,0.9105101403722935,0.11213860899951736,0.20835221589406305,1559059281.268221,2460.0,-0.0024505795241217157,-0.9999969503037652,0.00030371314489559904,0.9999925411162833,-0.0024496618638255984,0.0029859330772408206,-0.002985180008412142,0.0003110281497430438,0.9999954953068303,0.0003110295407573532,0.0029851844425156653,1.5732469196921404
J003,0.6824426425346984,0.18196153816716368,0.18417006045514303,0.683552065741772,0.9390604773749407,0.11202155263696391,0.15002192691346003,1559059290.7998018,3651.5,-0.0023240760051487733,-0.8659464207909667,0.5001313758840322,0.999993891084385,-0.0007068564518121258,0.0034230246603394517,-0.0026106348664004498,0.5001362763500175,0.8659427742750134,0.5237581096776988,0.0026106378321944907,1.5731204128131921
J004,0.6819197881961618,-0.18391332388044682,-0.18192659852134957,0.6841520327927065,0.8565141667669904,0.11215212385692384,0.24481969993776975,1559059309.299034,5964.0,-0.002322582999724986,-0.8661561673677874,-0.49976804366484223,0.9999910694685875,-0.0037762299088327325,0.0018973653901677922,-0.0035306536659411255,-0.499759174034224,0.8661572034362779,-0.5233243126537521,0.003530661001742371,1.5731189263604521
J005,0.6521472717070862,-0.2718216876080412,0.2712829288082008,0.6536225808192998,0.9103705418008018,0.1703382122126229,0.18400373237363446,1559059327.4903193,8238.0,-0.0016338117808864883,-0.999997532332237,-0.0015047421988593208,0.7050351985149532,-0.0022190165376358667,0.7091688401527039,-0.7091704294790162,9.775219084231178e-05,0.7050370847432423,0.00013864833788580072,0.7883208782831908,1.5731136704974844
J006,-0.4986768427491727,0.5012248897279652,-0.5002802264460103,-0.4998146765097951,0.9103228083756649,0.1942914047473866,0.12553310244876933,1559059337.3978534,9476.5,-0.00019003224986977846,-0.9999978121404098,-0.0020827846047963817,-0.003013792974996568,-0.002082202473206405,0.9999932901176267,-0.9999954394850661,0.0001963080574425847,-0.003013390714411286,3.0765414610337705,1.567776349440469,-1.6337650195576015
J007,-0.2693794919984626,0.6543820372860503,-0.6529736811242474,-0.26989666506463017,0.9103764090258492,0.16987175614970876,0.0671745035250647,1559059347.293442,10713.5,0.0015623233848476967,-0.9999977481909876,-0.0014356220821913827,-0.7091792424375297,-0.002120121567243512,0.7050250395130312,-0.7050264958558021,-8.336374095858124e-05,-0.7091809583365281,-3.0928937745249656,0.7824605065084138,-1.5685933281747095
J008,-0.06073478375927951,0.7053718543640543,-0.7034414539091586,0.06270529054970915,0.9234034811131829,0.11157043890069071,0.061021192825486466,1559059357.181068,11949.5,0.0024763343477779863,-0.9847588206918557,0.17390782327895898,-0.999992390040535,-0.002962813354194387,-0.0025377874188042917,0.0030143649616312337,-0.17390021555081187,-0.9847586644110692,-2.9668029942127276,-0.0030143695272764454,-1.5683199786640176
J009,-0.18213284685175674,0.6840699124566333,-0.6819173166169189,0.18402378577268852,0.9390999849616513,0.11158006856994594,0.10175201532592792,1559059366.4566743,13109.0,0.002248038594346761,-0.8659246858460729,0.5001693542397283,-0.999991790075517,-0.003632798258496355,-0.0017948111738190868,0.003371185657545363,-0.500161213537028,-0.8659257441253275,-2.6178044320656406,-0.0033711920436180778,-1.568548273531212
J010,0.299281104078157,0.6411629403606217,-0.6396479772601789,0.30031877946558816,0.9106708782787233,0.04831404388617632,0.07307738260658636,1559059376.5202746,14367.0,0.0013181912343943553,-0.9999966271808467,0.0022374376642102967,-0.6404776840031904,-0.0025625713212078546,-0.7679725051675796,0.7679756488199877,-0.00042069426398091254,-0.6404789022590378,-3.140935810396537,-0.8756744515040638,-1.568738192051152
