,pt,x,y,z,t
J001,1,-4.8059585,-1.6973209999999999,0.4579415,  05/28/19 18:01:15
J002,2,-4.0865027000000005,-1.2883545,-0.32334409999999997,  05/28/19 18:01:26
J003,3,-4.031847099999999,-1.27403,-0.4504124,  05/28/19 18:01:35
J004,4,-4.1952443,-1.3176311,-0.24133670000000002,  05/28/19 18:01:45
J005,5,-4.119966799999999,-1.1655944,-0.3546853,  05/28/19 18:02:12
J006,6,-4.1379861,-1.1001306999999998,-0.46692170000000005,  05/28/19 18:02:21
J007,7,-4.1299286,-1.1304626,-0.5943568,  05/28/19 18:02:32
J008,8,-4.0752606,-1.2315844999999999,-0.6233151,  05/28/19 18:02:41
J009,9,-4.0457784,-1.2233829,-0.5351191,  05/28/19 18:02:51
J010,10,-4.0639308,-1.3728527,-0.6212774999999999,  05/28/19 18:03:01
J011,11,-4.0864427,-1.2883394,-0.3233777,  05/28/19 18:03:13
J012,12,-4.1251548,-2.062964,-0.3226429,  05/28/19 18:03:23
J013,13,-4.186396,-2.0800492,-0.19158029999999998,  05/28/19 18:03:33
J014,14,-4.1170381,-2.026817,-0.22987449999999998,  05/28/19 18:03:50
J015,15,-4.1622958,-1.8889695,-0.7330460999999999,  05/28/19 18:04:00
J016,16,-4.2989042,-1.719785,-0.2712724,  05/28/19 18:04:10
J017,17,-4.5907345,-2.4844931,-0.32282340000000004,  05/28/19 18:04:21
J018,18,-4.6451531,-2.2845006000000003,-0.3023113,  05/28/19 18:04:31
J019,19,-4.5789705000000005,-2.424107,-0.6708483000000001,  05/28/19 18:04:42
J020,20,-4.5239523,-2.4662176,-0.4026546,  05/28/19 18:04:54
J021,21,-4.686853599999999,-2.5107147999999997,-0.28829770000000005,  05/28/19 18:05:24
J022,22,-5.2180375,-2.5080202000000003,-0.3233472,  05/28/19 18:05:34
J023,23,-5.7869991999999995,-1.9802538,-0.32433259999999997,  05/28/19 18:05:44
J024,24,-5.7551062,-2.0961678,-0.4052814,  05/28/19 18:05:54
J025,25,-5.8137506,-1.8819762,-0.339737,  05/28/19 18:06:05
J026,26,-5.6964674,-1.9555211,-0.3657302,  05/28/19 18:06:29
J027,27,-5.884003599999999,-2.00656,-0.34418790000000005,  05/28/19 18:07:02
J028,28,-5.7484044,-1.2055585,-0.32512959999999996,  05/28/19 18:07:13
J029,29,-5.2825516,-0.7840099,-0.32496479999999994,  05/28/19 18:07:22
J030,30,-5.2153782,-0.7659768,-0.4043255,  05/28/19 18:07:43
J031,31,-5.379378900000001,-0.8101654,-0.2910231,  05/28/19 18:08:08
J032,32,-5.2504934,-0.7056094,-0.5174952,  05/28/19 18:08:20
J033,33,-5.2615418,-0.8570559999999999,-0.6764730999999999,  05/28/19 18:08:30
J034,34,-4.5035983,-0.8168949999999999,-0.4266374,  05/28/19 18:09:00
J035,35,-4.8803623,-1.2150502,0.0481457,  05/28/19 18:09:11
J036,36,-4.85331,-1.2084727,-0.0157072,  05/28/19 18:09:20
J037,37,-4.9430603,-1.231703,0.0958938,  05/28/19 18:09:31
J038,38,-4.8795627,-1.2147636999999998,0.046947699999999995,  05/28/19 18:09:40
J039,39,-4.6327217,-1.8296047999999998,-0.0865336,  05/28/19 18:09:53
J040,40,-4.6376784,-2.0247631,-0.0429087,  05/28/19 18:10:02
J041,41,-4.5793267,-2.0087691000000003,-0.0981251,  05/28/19 18:10:12
J042,42,-4.669825299999999,-1.6889753,-0.03420530000000001,  05/28/19 18:10:23
J043,43,-4.681986,-1.6479716,0.0659935,  05/28/19 18:10:35
J044,44,-4.5830926,-1.6061878,0.015416,  05/28/19 18:10:46
J045,45,-4.7778653,-1.6887917000000001,0.0403193,  05/28/19 18:11:15
J046,46,-5.147961799999999,-1.8034236000000001,-0.0206605,  05/28/19 18:11:27
J047,47,-4.9090524,-1.7410147,0.0967332,  05/28/19 18:11:56
J048,48,-5.116455,-1.7951609,0.0979956,  05/28/19 18:12:24
J049,49,-4.8059794,-1.6972951,0.45794989999999997,  05/28/19 18:12:35
